id,status,notification,division_id,sportshall_id,planned_at,planned_orig_at,season_id,delayed_request,delayed_status,delayed_prop_at,delayed_prop_count,team1_id,team2_id,score1,score2,score3,score4,forfeit,forfeit_at,created_at,updated_at
96602,3,1,786,699,2024-10-16 22:00:00,,2024,0,0,,0,1903,676,4,3,0,0,0,,2024-08-17 14:25:31,2024-10-22 10:15:00
96603,3,1,786,324,2024-10-18 21:00:00,,2024,0,0,,0,1904,1933,2,6,0,0,0,,2024-08-17 14:25:31,2024-10-20 21:01:29
96604,3,1,786,330,2024-10-20 21:00:00,,2024,0,0,,0,1929,496,5,5,0,0,0,,2024-08-17 14:25:31,2024-10-21 19:15:35
96605,3,1,786,644,2024-10-21 22:00:00,,2024,0,0,,0,2048,2152,5,4,0,0,0,,2024-08-17 14:25:31,2024-10-23 15:14:17
96606,3,1,786,319,2024-10-22 21:00:00,,2024,0,0,,0,676,1588,3,0,0,0,0,,2024-08-17 14:25:31,2024-10-24 11:56:38
96607,3,1,786,644,2024-10-25 20:00:00,,2024,0,0,,0,1367,491,3,6,0,0,0,,2024-08-17 14:25:31,2024-11-09 08:54:52
96608,3,1,786,330,2024-10-27 19:00:00,,2024,0,0,,0,1930,1903,7,7,0,0,0,,2024-08-17 14:25:31,2024-10-28 09:44:48
96609,3,1,786,334,2024-10-27 21:00:00,,2024,0,0,,0,496,1904,8,7,0,0,0,,2024-08-17 14:25:31,2024-10-28 11:39:05
96610,3,1,786,765,2024-10-31 20:30:00,,2024,0,0,,0,2152,2048,7,6,0,0,0,,2024-08-17 14:25:31,2024-11-02 23:52:09
96611,3,1,786,699,2024-10-28 22:00:00,,2024,0,0,,0,1933,1929,2,6,0,0,0,,2024-08-17 14:25:31,2024-10-28 23:46:53
96612,3,1,786,644,2024-11-04 22:00:00,,2024,0,0,,0,2048,1903,4,2,0,0,0,,2024-08-17 14:25:31,2024-11-05 20:30:04
96613,3,1,786,319,2024-11-05 21:00:00,,2024,0,0,,0,676,1933,2,3,0,0,0,,2024-08-17 14:25:31,2024-11-07 23:51:48
96614,3,1,786,334,2024-11-06 20:00:00,,2024,0,0,,0,491,496,3,3,0,0,0,,2024-08-17 14:25:31,2024-11-08 17:19:38
96615,3,1,786,644,2024-11-08 20:00:00,,2024,0,0,,0,1367,1930,7,7,0,0,0,,2024-08-17 14:25:31,2024-11-09 09:00:20
96616,3,1,786,330,2024-11-10 21:00:00,,2024,0,0,,0,1929,2152,3,4,0,0,0,,2024-08-17 14:25:31,2024-11-12 13:36:15
96617,3,1,786,699,2024-11-13 22:00:00,,2024,0,0,,0,1903,1588,7,3,0,0,0,,2024-08-17 14:25:31,2024-11-14 00:45:19
96618,3,1,786,334,2024-11-15 21:00:00,,2024,0,0,,0,1904,496,5,14,0,0,0,,2024-08-17 14:25:31,2024-11-19 14:26:13
96622,3,1,786,334,2024-11-20 20:00:00,,2024,0,0,,0,491,2048,3,5,0,0,0,,2024-08-17 14:25:31,2024-11-22 17:17:24
